EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10096236,OKLAHOMA,1950,May,Tornado,C,MAYES,0,0,0,0,.25K,0,F1
10096237,OKLAHOMA,1950,June,Tornado,C,KAY,0,0,0,0,2.5K,0,F1
10049524,MISSISSIPPI,1950,February,Tornado,C,UNION,0,0,0,0,0K,0,F1
10049525,MISSISSIPPI,1950,February,Tornado,C,UNION,2,0,3,0,25K,0,F2
10049526,MISSISSIPPI,1950,March,Tornado,C,LAUDERDALE,0,0,0,0,0K,0,F1
10073782,NEBRASKA,1950,May,Tornado,C,NEMAHA,1,0,0,0,25K,0,F2
10073783,NEBRASKA,1950,May,Tornado,C,RED WILLOW,0,0,0,0,25K,0,F1
10073784,NEBRASKA,1950,June,Tornado,C,KNOX,101,0,0,0,25K,0,F2
10073786,NEBRASKA,1950,July,Tornado,C,BURT,33,0,0,0,2.5M,0,F4
10073787,NEBRASKA,1950,September,Tornado,C,LANCASTER,0,0,0,0,2.5K,0,F1
9986148,CONNECTICUT,1950,July,Tornado,C,MIDDLESEX,0,0,0,0,2.5K,0,F2
10047275,MISSISSIPPI,1950,November,Tornado,C,NEWTON,3,0,0,0,25K,0,F1
9985758,FLORIDA,1950,August,Tornado,C,FRANKLIN,0,0,0,0,25K,0,F1
9985759,FLORIDA,1950,August,Tornado,C,JACKSON,0,0,0,0,2.5K,0,
10077691,NORTH CAROLINA,1950,May,Tornado,C,WAKE,0,0,0,0,0K,0,F0
10077692,NORTH CAROLINA,1950,May,Tornado,C,WAKE,0,0,0,0,0K,0,F1
10077693,NORTH CAROLINA,1950,May,Tornado,C,MONTGOMERY,0,0,0,0,2.5K,0,F1
10077694,NORTH CAROLINA,1950,May,Tornado,C,UNION,5,0,0,0,0K,0,F2
10077695,NORTH CAROLINA,1950,May,Tornado,C,PITT,0,0,0,0,2.5K,0,F1
10077696,NORTH CAROLINA,1950,July,Tornado,C,PITT,0,0,0,0,0K,0,F1
10077697,NORTH CAROLINA,1950,July,Tornado,C,CABARRUS,0,0,0,0,2.5K,0,F1
10077698,NORTH CAROLINA,1950,October,Tornado,C,COLUMBUS,3,0,0,0,250K,0,F3
10077690,NORTH CAROLINA,1950,May,Tornado,C,PITT,0,0,0,0,25K,0,F1
9983002,ARKANSAS,1950,April,Tornado,C,JACKSON,8,0,1,0,2.5K,0,F3
9979423,ALABAMA,1950,April,Tornado,C,BALDWIN,0,0,0,0,2.5K,0,F2
9981926,ARKANSAS,1950,March,Tornado,C,HOT SPRING,0,0,0,0,25K,0,F2
9983000,ARKANSAS,1950,March,Tornado,C,PRAIRIE,20,0,0,0,250K,0,F3
9983001,ARKANSAS,1950,March,Tornado,C,WOODRUFF,2,0,0,0,0K,0,F2
10035921,KENTUCKY,1950,November,Tornado,C,MUHLENBERG,0,0,0,0,250K,0,F2
10035922,KENTUCKY,1950,November,Tornado,C,SCOTT,0,0,0,0,250K,0,F1
9982998,ARKANSAS,1950,March,Tornado,C,IZARD,1,0,0,0,250K,0,F3
9982999,ARKANSAS,1950,March,Tornado,C,PULASKI,7,0,0,0,250K,0,F2
9985754,FLORIDA,1950,March,Tornado,C,ST. JOHNS,0,0,0,0,2.5K,0,F2
9985755,FLORIDA,1950,May,Tornado,C,VOLUSIA,0,0,0,0,2.5K,0,F1
9985756,FLORIDA,1950,May,Tornado,C,ORANGE,0,0,0,0,25K,0,F1
9985757,FLORIDA,1950,May,Tornado,C,ORANGE,0,0,0,0,25K,0,F2
9983003,ARKANSAS,1950,April,Tornado,C,MISSISSIPPI,0,0,0,0,2.5K,0,F1
9983004,ARKANSAS,1950,August,Tornado,C,ARKANSAS,7,0,0,0,25K,0,F2
9983005,ARKANSAS,1950,December,Tornado,C,IZARD,0,0,0,0,.03K,0,F3
10038920,MARYLAND,1950,August,Tornado,C,KENT,0,0,0,0,2.5K,0,F1
